formatted_address,lat,long,name,place_id,rating,user_ratings_total,Suburb
"126 Russell St, Melbourne VIC 3000, Australia",-37.8133233,144.9686448,4D Dynamic Cinema,ChIJf2svx8lC1moR8NHmybq4Gdc,4.2,32,Melbourne
"Federation Square, Flinders St, Melbourne VIC 3000, Australia",-37.8175974,144.9686881,ACMI,ChIJT8T86bZC1moRpBiRUC3lABM,4.7,3155,Melbourne
"21 Great Ocean Rd, Apollo Bay VIC 3233, Australia",-38.7600947,143.6715478,Apollo Bay Cinema,ChIJnw77A8I202oRxtUymmrIYEM,0,0,Apollo Bay
"28 Beach St, Frankston VIC 3199, Australia",-38.1411014,145.1245331,Bayside Centre,ChIJGwAhW9p01moRXO7iGF9rNe0,3.9,1665,Frankston
"107-109 Queen St, Bendigo VIC 3550, Australia",-36.763959,144.277009,Bendigo Cinemas,ChIJV6FtyvNZ12oRrcKRANU_W6I,4.2,1353,Bendigo
"1628 Burwood Hwy, Belgrave VIC 3160, Australia",-37.909538,145.3521644,Cameo Cinemas,ChIJxaO3bwwj1moRBJGgM24NRgc,4.6,911,Belgrave
"54 Kepler St, Warrnambool VIC 3280, Australia",-38.3831539,142.4814689,Capitol Cinema,ChIJVfhuLFZMzWoR_54f4p7RzC4,4.3,414,Warrnambool
"41 Pynsent St, Horsham VIC 3400, Australia",-36.7156095,142.2009274,Centre Cinema Horsham,ChIJ_-D8H0ZFzmoRDOnBaGhcnmE,4,170,Horsham
"Midcity Centre, Level 1/200 Bourke St, Melbourne VIC 3000, Australia",-37.8122805,144.9672498,Chinatown Cinema,ChIJK2tGjslC1moRHAErp9lHG3Y,3.9,112,Melbourne
"380 Lygon St, Carlton VIC 3053, Australia",-37.797992,144.967931,Cinema Nova,ChIJX6cjotZC1moRppz20GUm5sc,4.5,2184,Carlton
"9 Gordon St, Elsternwick VIC 3185, Australia",-37.8839364,145.0006646,Classic Cinemas,ChIJv9yR2f5o1moRv6auqN7rYjc,4.5,1242,Elsternwick
"99 Gellibrand St, Colac VIC 3250, Australia",-38.3425548,143.5855822,Colac Cinemas,ChIJyc-VOg0P02oROxb75UJvG18,4.4,201,Colac
"Level 1/3-5 Hewish Rd, Croydon VIC 3136, Australia",-37.795981,145.282197,Croydon Cinemas,ChIJR_g_I5s61moRJLlTfYN1ceU,4.5,828,Croydon
"200 Rosamond Rd, Maribyrnong VIC 3032, Australia",-37.7733781,144.889076,Director's Suite,ChIJzwoAq85d1moRxI-IgXuOgjU,4.6,7,Maribyrnong
"133 Nepean Hwy, Dromana VIC 3936, Australia",-38.3298149,144.9966278,Dromana 3 Drive-In,ChIJF3-b76jF1WoRDpt75Mlkumc,4.3,687,Dromana
"392 High St, Echuca VIC 3564, Australia",-36.1300487,144.7489396,Echuca Paramount Cinemas,ChIJP8_vz_sC2WoRbU4kskYiIPI,4.4,396,Echuca
"1B Bury St, Euroa VIC 3666, Australia",-36.7529826,145.5728794,Euroa Community Cinema,ChIJMYUpXgyLJ2sRbTYCxzAANyU,4.8,16,Euroa
"South Yarra VIC 3141, Australia",-37.8432265,144.9958033,Gold Class Cinema,ChIJV2dFIiho1moRXP7L_pD5VA8,4.4,183,South Yarra
"48/50 Pearcedale Parade, Broadmeadows VIC 3047, Australia",-37.6788926,144.9193836,HOYTS Broadmeadows,ChIJe1BHsIla1moRdu6mF6hHqKc,4.3,977,Broadmeadows
"1341 Dandenong Rd, Chadstone VIC 3148, Australia",-37.8846702,145.0841064,HOYTS Chadstone,ChIJoW0wF2hq1moRBcI-r65k2t8,4.5,3144,Chadstone
"440 Docklands Dr, Docklands VIC 3008, Australia",-37.8118737,144.9368258,HOYTS District Docklands,ChIJGddRrE9d1moR_jD9gN1bHKE,4.7,1252,Docklands
"171/175 Maroondah Hwy, Ringwood VIC 3134, Australia",-37.81207,145.229996,HOYTS Eastland,ChIJ3TaYmdY71moRbjQA9AbxvKw,4.4,1736,Ringwood
"Canterbury Rd, Forest Hill VIC 3131, Australia",-37.8350456,145.1654914,HOYTS Forest Hill,ChIJ1xIgiTk_1moR4apa36FIano,4.4,832,Forest Hill
"21 Wells St, Frankston VIC 3199, Australia",-38.1438814,145.1231129,HOYTS Frankston,ChIJDWmjp9l01moRjAR7lxaQzOQ,4.3,1309,Frankston
"25 Main St, Greensborough VIC 3088, Australia",-37.7026519,145.1020672,HOYTS Greensborough,ChIJSyvJ6FpI1moRlcRgBdH7Gjw,4.3,982,Greensborough
"Swanston St &, La Trobe St, Melbourne VIC 3000, Australia",-37.8102283,144.9627668,HOYTS Melbourne Central,ChIJpwUL88pC1moRaDpAPLemV9I,4.1,2640,Melbourne
"50 Murray Rd, Preston VIC 3072, Australia",-37.7400401,145.0302636,HOYTS Northland,ChIJ7X-sU8pF1moRNmwKw0k1yLc,4.1,1476,Preston
"Burnley St &, Victoria St, Richmond VIC 3121, Australia",-37.8138989,145.0116663,HOYTS Victoria Gardens,ChIJ9W8HjlRC1moRRK2HE4F4lbs,4.4,996,Richmond
"399 Melton Hwy, Taylors Lakes VIC 3038, Australia",-37.6987722,144.7750985,HOYTS Watergardens,ChIJjSCC4vr11moRjzkk44zrmTI,4.4,1060,Taylors Lakes
"109 Brown St, Hamilton VIC 3300, Australia",-37.7422608,142.0245331,Hamilton Cinema,ChIJJ5D7KQECzWoRwpuk5nwFeBU,4.6,63,Hamilton
"120-200 Rosamond Rd, Maribyrnong VIC 3032, Australia",-37.7740565,144.8888811,Hoyts Highpoint,ChIJiz5UY85d1moR7LZreJts8fo,3.9,1499,Maribyrnong
"Rathdowne St, Carlton VIC 3053, Australia",-37.803601,144.9706544,IMAX Melbourne,ChIJVZQ3VNBC1moRdiUf8l9zaVk,4.6,1457,Carlton
"45 Collins St, Melbourne VIC 3000, Australia",-37.8145368,144.9733034,Kino Cinema,ChIJAVfi1sdC1moR4bbmrdiMui4,4.4,1346,Melbourne
"675 Glenferrie Rd, Hawthorn VIC 3122, Australia",-37.8204945,145.0356117,Lido Cinemas,ChIJ37bwATNC1moRxS7PHjtZKSg,4.6,1591,Hawthorn
"78 Mountjoy Parade, Lorne VIC 3232, Australia",-38.5392551,143.9751531,Lorne Theatre,ChIJDVTutMBk02oRRTUGee7-Cx0,4.5,42,Lorne
"115 S Gippsland Hwy, Dandenong VIC 3175, Australia",-38.0115821,145.2333398,Lunar Drive-in,ChIJOQGZtV4R1moRFu7w9xxLT6w,4.6,2662,Dandenong
"1 Chenery St, Mansfield VIC 3722, Australia",-37.0531806,146.0925445,Mansfield Armchair Cinema,ChIJn3cJ0WrJJ2sRQovKAech7N0,4.6,121,Mansfield
"Dorset Square, Boronia VIC 3155, Australia",-37.8618901,145.2862774,Metro Cinemas Boronia,ChIJifMJ6GM71moR9uoZ7VFEjeI,4.5,679,Boronia
"Central Lawn Royal Botanic Gardens Melbourne, Birdwood Ave, Melbourne VIC 3004, Australia",-37.83048,144.981483,Moonlight Cinema Melbourne,ChIJPXEUwzpD1moReUYXCCc5Dgk,4.5,842,Melbourne
"10/12 Citrus St, Braeside VIC 3195, Australia",-37.9913741,145.1101404,Movies in the Park,ChIJLY16iOFs1moR7J5lxauEkUE,5,1,Braeside
"2/153 High St, Prahran VIC 3181, Australia",-37.8514619,144.9932886,Now Showing PTY Ltd.,ChIJE3Brvzpo1moREeAzQliqC98,3.4,5,Prahran
