Suburb/Town Name,Postcode,Incidents Recorded,population,lat,lng
Abbeyard,3737,10,0.0,-37.014140000000005,146.78255
Abbotsford,3067,10294,8184.0,-37.80387,145.00358
Aberfeldie,3040,1178,3897.0,-37.75987,144.89813
Aberfeldy,3825,8,0.0,-37.702090000000005,146.37833999999998
Acheron,3714,33,171.0,-37.27053,145.70407
Ada,3833,4,0.0,-37.84073,145.84958999999998
Adams Estate,3984,28,59.0,-38.42467,145.53247
Addington,3352,7,71.0,-37.3937,143.66662
Adelaide Lead,3465,15,81.0,-37.08527,143.6666
Agnes,3962,10,57.0,-38.6852,146.38866000000002
Aireys Inlet,3231,256,802.0,-38.43789,144.09745
Airly,3851,21,146.0,-38.02921,147.09942
Airport West,3042,7035,7564.0,-37.72265,144.87818000000001
Albacutya,3424,4,0.0,-35.73721,141.95934
Albanvale,3021,2944,5491.0,-37.74599,144.76819
Albert Park,3206,4786,6215.0,-37.845620000000004,144.96136
Alberton,3971,90,262.0,-38.616240000000005,146.6427
Alberton West,3971,27,81.0,-38.60079,146.58058
Albion,3020,4003,4731.0,-37.775999999999996,144.81662
Alexandra,3714,1065,2695.0,-37.19658,145.74174
Alfredton,3350,3514,9220.0,-37.555170000000004,143.80088999999998
Allambee,3823,16,19.0,-38.290929999999996,146.01846
Allambee Reserve,3871,21,95.0,-38.30285,146.04636000000002
Allambee South,3871,21,76.0,-38.35345,146.0948
Allans Flat,3691,25,318.0,-36.2973,146.93783
Allansford,3277,314,1521.0,-38.4039,142.61924
Allendale,3364,24,166.0,-37.36315,143.91314
Allestree,3305,45,128.0,-38.273179999999996,141.65715
Alma,3465,31,201.0,-37.0234,143.67824
Almonds,3727,4,26.0,-36.23227,146.072
Almurta,3979,64,48.0,-38.45543,145.5848
Alphington,3078,2399,5080.0,-37.77809,145.03221000000002
Altona,3018,5991,10762.0,-37.86238,144.82227
Altona Meadows,3028,7614,19160.0,-37.88002,144.7811
Altona North,3025,9136,12152.0,-37.83848,144.82824
Alvie,3249,37,132.0,-38.23278,143.4983
Amherst,3371,34,65.0,-37.13899,143.65603000000002
Amor,3825,2,0.0,-37.94005,146.40153
Amphitheatre,3468,122,248.0,-37.200309999999995,143.41128999999998
Anakie,3213,256,690.0,-37.94427,144.27903999999998
Ancona,3715,23,84.0,-36.96734,145.80296
Anderson,3995,47,28.0,-38.523270000000004,145.44818999999998
Anglers Rest,3898,19,21.0,-37.01885,147.47066
Anglesea,3230,1109,2545.0,-38.37935,144.1607
Annuello,3549,9,25.0,-34.85264,142.84646999999998
Antwerp,3414,24,63.0,-36.27213,141.97461
Apollo Bay,3233,1004,1598.0,-38.736090000000004,143.64605
Appin,3579,3,11.0,-35.87843,143.87281000000002
Appin South,3579,5,29.0,-35.9305,143.86711
Apsley,3319,93,277.0,-36.97906,141.09129
Ararat,3377,7867,8297.0,-37.265809999999995,142.97973000000002
Arawata,3951,18,79.0,-38.39477,145.87868999999998
Arcadia,3631,99,217.0,-36.5561,145.35359
Arcadia South,3631,29,75.0,-36.59174,145.37509
Archdale,3475,18,21.0,-36.83632,143.51161000000002
Archdale Junction,3475,19,6.0,-36.88745,143.51106000000001
Archerton,3723,7,17.0,-36.87342,146.2114
Archies Creek,3995,19,22.0,-38.54826,145.56408000000002
Ardeer,3022,2792,3103.0,-37.775490000000005,144.80298
Ardmona,3629,284,487.0,-36.37938,145.2983
Areegra,3480,3,35.0,-36.23657,142.68732
Argyle,3523,38,215.0,-36.96735,144.717
Armadale,3143,4587,9054.0,-37.8576,145.01991999999998
Armstrong,3377,73,88.0,-37.21342,142.8833
Armstrong Creek,3217,1484,4247.0,-38.23449,144.37535
Arnold,3551,30,47.0,-36.672109999999996,143.85738
Arnold West,3551,8,22.0,-36.65998,143.78755
Arthurs Creek,3099,112,496.0,-37.567040000000006,145.20291
Arthurs Seat,3936,232,394.0,-38.3614,144.96049
Ascot,3364,554,96.0,-37.39784,143.81059
Ascot Vale,3032,10619,14750.0,-37.77984,144.91646
Ashbourne,3442,40,196.0,-37.41165,144.45891
Ashburton,3147,3944,7751.0,-37.867020000000004,145.07761000000002
Ashwood,3147,3952,6886.0,-37.86571,145.10238999999999
Aspendale,3195,2318,6940.0,-38.022079999999995,145.10147
Aspendale Gardens,3195,1403,6530.0,-38.022909999999996,145.11898
Athlone,3818,37,122.0,-38.24345,145.78571000000002
Attwood,3049,854,3419.0,-37.66714,144.88338000000002
Aubrey,3393,6,10.0,-36.228770000000004,142.2192
Auchmore,3570,8,13.0,-36.47401,144.10549
Avalon,3212,311,293.0,-38.04659,144.44637
Avenel,3664,387,1048.0,-36.93038,145.29116000000002
Avoca,3467,497,1193.0,-37.06962,143.47286
Avon Plains,3477,2,7.0,-36.5365,142.92295
Avondale Heights,3034,3298,11633.0,-37.76295,144.8649
Avonmore,3559,10,43.0,-36.53492,144.54325
Avonsleigh,3782,159,852.0,-37.91375,145.48883999999998
Axe Creek,3551,67,352.0,-36.86356,144.39347
Axedale,3551,186,802.0,-36.7718,144.52768999999998
Ayrford,3268,7,44.0,-38.437,142.85333
Bacchus Marsh,3340,6409,6394.0,-37.678329999999995,144.44715
Baddaginnie,3670,200,338.0,-36.603190000000005,145.86982
Badger Creek,3777,315,1563.0,-37.68797,145.53808999999998
Bael Bael,3579,5,8.0,-35.682190000000006,143.7328
Bagshot,3551,62,288.0,-36.653890000000004,144.39057
Bagshot North,3551,13,30.0,-36.58697,144.41746
Bahgallah,3312,15,35.0,-37.695479999999996,141.33855
Bailieston,3608,56,109.0,-36.75527,145.08275
Bairnsdale,3875,12488,7580.0,-37.85346,147.58098999999999
Bakery Hill,3350,830,164.0,-37.56343,143.86586
Balaclava,3183,4904,5396.0,-37.87069,144.99485
Bald Hills,3364,40,107.0,-37.445029999999996,143.83538000000001
Balintore,3249,10,67.0,-38.281929999999996,143.56751
Ballan,3342,1868,2985.0,-37.60383,144.21976
Ballangeich,3279,15,64.0,-38.18634,142.61497
Ballarat Central,3350,20924,5328.0,-37.55963,143.8507
Ballarat East,3350,4806,5623.0,-37.565670000000004,143.88635
Ballarat North,3350,1706,3925.0,-37.537259999999996,143.86527
Ballendella,3561,48,124.0,-36.2932,144.6694
Balliang,3340,166,290.0,-37.82128,144.35298999999998
Balliang East,3340,77,147.0,-37.81865,144.43147
Ballyrogan,3375,16,67.0,-37.4282,143.07509
Balmattum,3666,67,110.0,-36.709959999999995,145.66418000000002
Balmoral,3407,80,294.0,-37.213229999999996,141.82208
Balnarring,3926,558,2270.0,-38.360690000000005,145.12367
Balnarring Beach,3926,114,418.0,-38.391940000000005,145.1213
Balook,3971,7,4.0,-38.42236,146.5525
Balwyn,3103,3795,13312.0,-37.80995,145.08311
Balwyn North,3104,4750,20406.0,-37.79078,145.08524
Bamawm,3561,135,504.0,-36.27037,144.64567
Bamawm Extension,3564,22,238.0,-36.177609999999994,144.60353999999998
Bambra,3241,25,101.0,-38.3616,143.95219
Bamganie,3333,11,37.0,-37.93957,143.99541000000002
Bandiana,3691,158,615.0,-36.13127,146.92081000000002
Bangerang,3393,7,57.0,-36.197559999999996,142.58147
Bangholme,3175,546,784.0,-38.04673,145.17199
Bannerton,3549,42,40.0,-34.737790000000004,142.79209
Bannockburn,3331,1045,5283.0,-38.049040000000005,144.15811000000002
Banyan,3485,2,25.0,-35.61286,142.78808
Banyena,3388,8,28.0,-36.639509999999994,142.79466000000002
Baranduda,3691,301,2370.0,-36.18457,146.96049
Barfold,3444,21,88.0,-37.10357,144.50155
Baringhup,3463,67,205.0,-36.97665,143.97093999999998
Baringhup West,3463,6,16.0,-36.96278,143.89891
Barjarg,3723,44,132.0,-36.91979,146.00163
Barkers Creek,3451,91,457.0,-37.00946,144.23291
Barkly,3384,15,43.0,-36.950109999999995,143.21903
Barkstead,3364,3,42.0,-37.478120000000004,144.09714
Barmah,3639,264,282.0,-35.95003,144.97836999999998
Barnadown,3557,20,17.0,-36.6501,144.52847
Barnawartha,3688,307,904.0,-36.08079,146.67251000000002
Barnawartha North,3691,191,169.0,-36.0794,146.7555
Baromi,3871,30,127.0,-38.403620000000004,146.17639
Barongarook,3249,87,434.0,-38.42778,143.61413000000002
Barongarook West,3249,51,235.0,-38.43464,143.54529
Barrabool,3221,48,235.0,-38.16605,144.22763
Barrakee,3525,7,18.0,-36.265209999999996,143.44875
Barramunga,3249,21,7.0,-38.58182,143.72263999999998
Barraport,3537,8,37.0,-35.99817,143.66888
Barraport West,3537,1,10.0,-36.01867,143.52785
Barrys Reef,3458,21,36.0,-37.455459999999995,144.31223
Barunah Park,3329,5,27.0,-38.01319,143.82296000000002
Barunah Plains,3329,1,9.0,-38.04777,143.77039
Barwidgee,3737,34,106.0,-36.51193,146.77268999999998
Barwite,3722,32,228.0,-37.009440000000005,146.21743999999998
Barwon Downs,3243,21,131.0,-38.507670000000005,143.79258000000002
Barwon Heads,3227,1398,3875.0,-38.27363,144.48863
Basalt,3460,7,10.0,-37.30859,144.09659
Bass,3991,352,359.0,-38.47707,145.4726
Batesford,3213,166,952.0,-38.08873,144.27868999999998
Bathumi,3730,9,62.0,-36.02512,146.08516
Baw Baw,3833,38,0.0,-37.83765,146.30085
Baxter,3911,1764,2162.0,-38.19766,145.15309
Bayindeen,3375,9,21.0,-37.30321,143.18286
Bayles,3981,154,461.0,-38.17723,145.5845
Baynton,3444,23,107.0,-37.13779,144.6372
Bayswater,3153,9277,11758.0,-37.846309999999995,145.26278
Bayswater North,3153,5576,8789.0,-37.826159999999994,145.28203
Beaconsfield,3807,2868,6714.0,-38.039640000000006,145.38483
Beaconsfield Upper,3808,454,2861.0,-37.99855,145.42478
Bealiba,3475,125,206.0,-36.7688,143.55039
Bearii,3641,41,145.0,-35.88351,145.34703000000002
Bears Lagoon,3517,36,72.0,-36.338229999999996,143.94832
Beauchamp,3579,8,44.0,-35.64116,143.6237
Beaufort,3373,951,1539.0,-37.4404,143.33452
Beazleys Bridge,3477,5,25.0,-36.70765,143.14151
Beeac,3251,125,370.0,-38.17835,143.66526000000002
Beech Forest,3237,43,82.0,-38.634240000000005,143.58652
Beechworth,3747,1046,3859.0,-36.33392,146.65998000000002
Beenak,3139,26,25.0,-37.9008,145.62724
Belgrave,3160,2360,3929.0,-37.91101,145.35595
Belgrave Heights,3160,231,1360.0,-37.92603,145.34355
Belgrave South,3160,372,1645.0,-37.94151,145.35658
Bell Post Hill,3215,2233,4919.0,-38.09642,144.31988
Bellarine,3223,88,169.0,-38.13211,144.6197
Bellbird Creek,3889,11,0.0,-37.63645,148.81566
Bellbrae,3228,160,865.0,-38.34169,144.23694
Bellbridge,3691,84,370.0,-36.09798,147.05838
Bellellen,3381,3,57.0,-37.133959999999995,142.69213
Bellfield,3081,1226,1793.0,-37.752990000000004,145.03835
Bells Beach,3228,90,130.0,-38.376740000000005,144.26039
Belmont,3216,8592,14054.0,-38.17986,144.34286
Bemm River,3889,24,60.0,-37.71638,148.92831999999999
Benalla,3672,8214,10330.0,-36.57111,146.00681
Benambra,3900,61,149.0,-36.8883,147.79543
Benayeo,3319,6,61.0,-36.84324,141.046
Bend Of Islands,3097,17,295.0,-37.7005,145.28588
Bendigo,3550,20598,5512.0,-36.7562,144.28015
Bendoc,3888,17,115.0,-37.18847,148.88003999999998
Bengworden,3875,24,59.0,-37.97445,147.44483
Benjeroop,3579,23,45.0,-35.49071,143.81837
Benloch,3435,63,135.0,-37.19833,144.6717
Bennison,3960,1,43.0,-38.66592,146.26885
Bentleigh,3204,6729,16153.0,-37.922670000000004,145.03728
Bentleigh East,3165,8002,27635.0,-37.9222,145.06678
Benwerrin,3235,15,5.0,-38.49115,143.90997
Beremboke,3342,63,149.0,-37.78785,144.22633000000002
Berrimal,3518,1,46.0,-36.49808,143.46726
Berringa,3351,42,167.0,-37.771359999999994,143.67874
Berringama,3691,8,37.0,-36.1981,147.66652
Berriwillock,3531,39,184.0,-35.64437,142.9622
Berrybank,3323,42,40.0,-37.96764,143.49402
Berrys Creek,3953,26,152.0,-38.41279,146.0662
Berwick,3806,17270,47674.0,-38.0421,145.34951999999998
Bessiebelle,3304,35,98.0,-38.15756,141.93845
Bet Bet,3472,75,129.0,-36.92338,143.75063
Bete Bolong,3888,8,93.0,-37.687940000000005,148.31088
Bete Bolong North,3888,2,12.0,-37.59583,148.29325
Bethanga,3691,74,471.0,-36.151959999999995,147.12066000000002
Betley,3472,22,102.0,-36.91809,143.795
