,Suburb/Town Name,Postcode,Incidents Recorded,population,lat,lng,Number of Hospitals,Number of Cinemas,Distance to CBD
0,Abbeyard,3737,10,0.0,-37.01414000000001,146.78255,0,0,183.6332384056859
1,Abbotsford,3067,10294,8184.0,-37.80387,145.00358,0,0,3.748308902981719
2,Aberfeldie,3040,1178,3897.0,-37.75987,144.89813,0,0,8.115514941514649
3,Aberfeldy,3825,8,0.0,-37.70209000000001,146.37833999999995,0,0,125.0890703658757
4,Acheron,3714,33,171.0,-37.27053,145.70407,0,0,88.9222400238293
5,Ada,3833,4,0.0,-37.84073,145.84958999999995,0,0,77.99471700410353
6,Adams Estate,3984,28,59.0,-38.42467,145.53247,0,0,84.40104659160646
7,Addington,3352,7,71.0,-37.3937,143.66662,0,0,123.26905015605989
8,Adelaide Lead,3465,15,81.0,-37.08527,143.6666,0,0,140.0667501355896
9,Agnes,3962,10,57.0,-38.6852,146.38866000000004,0,0,157.90193067861657
10,Aireys Inlet,3231,256,802.0,-38.43789,144.09745,0,0,102.76525625747135
11,Airly,3851,21,146.0,-38.02921,147.09942,0,0,189.0033158858266
12,Airport West,3042,7035,7564.0,-37.72265,144.87818,0,1,12.41677996068596
13,Albacutya,3424,4,0.0,-35.73721,141.95934,0,0,353.2044486989138
14,Albanvale,3021,2944,5491.0,-37.74599,144.76819,0,0,18.586835846779138
15,Albert Park,3206,4786,6215.0,-37.84562,144.96136,0,0,3.6987863154117795
16,Alberton,3971,90,262.0,-38.61624000000001,146.6427,0,0,171.87744494741023
17,Alberton West,3971,27,81.0,-38.60079,146.58058,0,0,166.36715850684936
18,Albion,3020,4003,4731.0,-37.776,144.81662,0,0,13.423279096013003
19,Alexandra,3714,1065,2695.0,-37.19658,145.74174,1,0,97.03466348590493
20,Alfredton,3350,3514,9220.0,-37.55517,143.80088999999995,0,0,106.12745988096003
21,Allambee,3823,16,19.0,-38.29093,146.01846,0,0,106.69551286226292
22,Allambee Reserve,3871,21,95.0,-38.30285,146.04636000000005,0,0,109.46723123619458
23,Allambee South,3871,21,76.0,-38.35345,146.0948,0,0,115.95113289391327
24,Allans Flat,3691,25,318.0,-36.2973,146.93783,0,0,243.123004025108
25,Allansford,3277,314,1521.0,-38.4039,142.61924,0,0,215.28770134468814
26,Allendale,3364,24,166.0,-37.36315,143.91314,0,0,105.07471280945654
27,Allestree,3305,45,128.0,-38.27318,141.65715,0,0,293.9201435334395
28,Alma,3465,31,201.0,-37.0234,143.67824,0,0,143.37014932767792
29,Almonds,3727,4,26.0,-36.23227,146.072,0,0,201.42978880770943
30,Almurta,3979,64,48.0,-38.45543,145.5848,0,0,89.87412839523758
31,Alphington,3078,2399,5080.0,-37.77809,145.03221000000005,0,0,7.2297050586282285
32,Altona,3018,5991,10762.0,-37.86238,144.82227,1,0,13.495379981599417
33,Altona Meadows,3028,7614,19160.0,-37.88002,144.7811,0,0,17.598639385999572
34,Altona North,3025,9136,12152.0,-37.83848,144.82824,0,1,12.126611273065691
35,Alvie,3249,37,132.0,-38.23278,143.4983,0,0,136.49245805041477
36,Amherst,3371,34,65.0,-37.13899,143.65603000000004,0,0,137.452966484627
37,Amor,3825,2,0.0,-37.94005,146.40153,0,0,127.11685808229483
38,Amphitheatre,3468,122,248.0,-37.20031,143.41128999999995,0,0,152.80254747804892
39,Anakie,3213,256,690.0,-37.94427,144.27903999999995,0,0,61.73500268475633
40,Ancona,3715,23,84.0,-36.96734,145.80296,0,0,119.7694772294576
41,Anderson,3995,47,28.0,-38.52327,145.44818999999995,0,0,89.73905403257369
42,Anglers Rest,3898,19,21.0,-37.01885,147.47066,0,0,238.4449983326405
43,Anglesea,3230,1109,2545.0,-38.37935,144.1607,0,0,94.31364913387893
44,Annuello,3549,9,25.0,-34.85264,142.84646999999995,0,0,379.75042146292253
45,Antwerp,3414,24,63.0,-36.27213,141.97461,0,0,315.6431371562006
46,Apollo Bay,3233,1004,1598.0,-38.73609,143.64605,0,1,154.11383465323408
47,Appin,3579,3,11.0,-35.87843,143.87281000000004,0,0,235.88125604314348
48,Appin South,3579,5,29.0,-35.9305,143.86711,0,0,230.81497574156987
49,Apsley,3319,93,277.0,-36.97906,141.09129,0,0,354.263954848779
50,Ararat,3377,7867,8297.0,-37.26581,142.97973000000005,1,0,185.06224353964305
51,Arawata,3951,18,79.0,-38.39477,145.87868999999995,0,0,103.06886812988863
52,Arcadia,3631,99,217.0,-36.5561,145.35359,0,0,143.9265733962344
53,Arcadia South,3631,29,75.0,-36.59174,145.37509,0,0,140.56465004662556
54,Archdale,3475,18,21.0,-36.83632,143.51161000000005,0,0,168.02397107086995
55,Archdale Junction,3475,19,6.0,-36.88745,143.51106,0,0,164.41312677188833
56,Archerton,3723,7,17.0,-36.87342,146.2114,0,0,151.96414965840597
57,Archies Creek,3995,19,22.0,-38.54826,145.56408000000005,0,0,97.27541177545196
58,Ardeer,3022,2792,3103.0,-37.77549000000001,144.80298,0,0,14.586489457091627
59,Ardmona,3629,284,487.0,-36.37938,145.2983,0,0,162.10309370643193
60,Areegra,3480,3,35.0,-36.23657,142.68732,0,0,267.36095166159254
61,Argyle,3523,38,215.0,-36.96735,144.717,0,0,96.42777284303943
62,Armadale,3143,4587,9054.0,-37.8576,145.01991999999996,0,0,7.135454823450817
63,Armstrong,3377,73,88.0,-37.21342,142.8833,0,0,195.08451524878396
64,Armstrong Creek,3217,1484,4247.0,-38.23449,144.37535,0,0,69.61641957946418
65,Arnold,3551,30,47.0,-36.67211,143.85738,0,0,160.1284026582812
66,Arnold West,3551,8,22.0,-36.65998,143.78755,0,0,165.02699198954218
67,Arthurs Creek,3099,112,496.0,-37.56704000000001,145.20291,0,0,34.53132611056702
68,Arthurs Seat,3936,232,394.0,-38.3614,144.96049,0,0,61.05020623630223
69,Ascot,3364,554,96.0,-37.39784,143.81059,0,0,111.4346149211986
70,Ascot Vale,3032,10619,14750.0,-37.77984,144.91646,1,0,5.41251634425274
71,Ashbourne,3442,40,196.0,-37.41165,144.45891,0,0,62.859871957167854
72,Ashburton,3147,3944,7751.0,-37.86702,145.07761000000005,0,0,11.810377429887371
73,Ashwood,3147,3952,6886.0,-37.86571,145.10239,0,0,13.658161680535278
74,Aspendale,3195,2318,6940.0,-38.02208,145.10147,0,0,26.322087969609903
